"","idpub","X","gwiiq_bm","edfa57q","edmo57q","bmpin1","ocsf57","ocpf57","incg400","incg250","relfml","res57","hsdm57","edfa57q.miss","edmo57q.miss","bmpin1.miss","ocsf57.miss","ocpf57.miss","res57Dic","edfa57q.NoNA","edmo57q.NoNA","bmpin1.NoNA","ocsf57.NoNA","ocpf57.NoNA","strata","yrwg74i1","milty","bkxrl3","ru028re","gu028re","mx013rer","mx015rer","ixt07rer","ixt08rer","edeqyr","yrer74i1","rp001rei1","religion","urban","school","yrwg74"
"1",900021,1,93,7,NA,26,19,58,FALSE,FALSE,TRUE,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7,10.7198339032731,26,19,58,64,NA,1,-3,1,8,-2,-2,-2,-2,19,NA,66000,"Catholic","Urban","Public",NA
"2",900026,2,109,16,14,49,52,71,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,14,49,52,71,156,230,0,4,1,-2,-2,-2,-2,-2,20,250,55000,"Other","Rural","Public",230
"3",900034,3,81,7,7,34,14,53,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,34,14,53,131,75,1,1,-2,-2,NA,NA,NA,NA,12,75,13000,"Catholic","Rural","Public",75
"4",900035,4,76,7,NA,31,6,41,FALSE,FALSE,TRUE,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7,10.7198339032731,31,6,41,4,78.43000031,0,1,NA,NA,NA,NA,1,1,12,78.4300003051758,NA,"Catholic","Urban","Public",NA
"5",900042,5,117,16,7,63,72,78,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,7,63,72,78,177,120,1,5,-2,4,2,2,3,-2,12,136,50000,"Other","Rural","Public",120
"6",900043,6,104,12,NA,84,33,65,FALSE,FALSE,FALSE,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,12,10.7198339032731,84,33,65,76,92.86000061,1,4,93,-2,NA,NA,1,-3,14,292.859985351562,58530,"Other","Urban","Public",0
"7",900054,7,106,NA,12,89,21,59,FALSE,FALSE,FALSE,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,10.4034575115656,12,89,21,59,59,242,1,2,25,24,2,2,3,-2,12,247,90000,"Other","Urban","Public",242
"8",900069,8,123,13,14,100,50,71,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,14,100,50,71,60,110,1,6,1,6,2,1,3,-2,19,110,62000,"Other","Urban","Public",110
"9",900079,9,101,13,12,28,14,53,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,12,28,14,53,162,50,0,6,-2,-2,2,2,3,-2,12,50,20000,"Other","Rural","Public",50
"10",900083,10,71,7,12,56,19,58,FALSE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,12,56,19,58,146,130,0,1,-2,NA,1,1,NA,NA,12,130,32891,"Catholic","Rural","Public",130
"11",900096,11,127,16,12,91,72,78,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16,12,91,72,78,151,300,0,3,5,10,-2,-2,NA,NA,18,300,94453,"Other","Urban","Public",300
"12",900106,12,127,12,12,44,19,58,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,44,19,58,110,140,0,6,3,1,2,0,-2,-2,18,270.630004882812,60000,"Other","Rural","Public",140
"13",900126,13,109,12,12,68,33,65,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,68,33,65,76,NA,0,-3,10,8,NA,NA,1,0.5,12,NA,20000,"Other","Urban","Public",NA
"14",900145,14,104,10,10,31,37,67,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,10,31,37,67,83,135,1,2,2,4,2,1,3,-2,16,135,30000,"Other","Rural","Public",135
"15",900147,15,86,13,NA,4,14,53,FALSE,FALSE,FALSE,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,10.7198339032731,4,14,53,1,135,0,4,-2,-2,-2,-2,-2,-2,12,135,29000,"Other","Rural","Public",135
"16",900148,16,117,16,16,174,NA,NA,FALSE,FALSE,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,16,16,174,30.2687787429739,60.4144098109351,86,170,1,1,1,NA,-2,-2,3,-2,16,170,26985,"Catholic","Rural","Catholic",170
"17",900151,17,92,12,7,42,14,53,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,7,42,14,53,100,100,1,1,30,-2,NA,NA,NA,NA,12,100,40000,"Catholic","Rural","Public",100
"18",900174,18,94,7,7,7,6,41,FALSE,FALSE,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,7,6,41,98,120,1,5,20,32,-2,-2,-2,-2,18,120,35000,"Catholic","Rural","Catholic",120
"19",900189,19,123,12,12,114,66,76,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,114,66,76,21,240,1,1,10,12,2,2,1,2,19,240,65000,"Catholic","Urban","Catholic",240
"20",900209,20,115,7,7,20,22,60,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,20,22,60,116,180,0,4,15,60,2,2,3,-2,12,180,60000,"Other","Rural","Public",180
"21",900214,21,109,7,10,22,33,65,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,22,33,65,26,83,0,1,-2,-3,NA,NA,NA,NA,12,83,24000,"Other","Rural","Public",83
